District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2018 Incumbent,2016 President,,2012 President,,2008 President,,2018 US House,,2016 US House,,2014 US House,,2012 Two-Party,,2014-2018 ACS Citizen Adult Population,,,,,,2010 Census Adult Population by Race,,,,,,2014-2018 ACS Educational Attainment Among Adults 25+ and Median Household Income,,,,,,,,,,Non-College White Share,2013-2022 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2018 House,,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,ACS Citizen Population (Includes Latinos of Any Race),,,,,,,ACS Citizen Voting Age Population (Includes Latinos of Any Race),,,,,,,2010 Census Total Population (Includes Latinos of Any Race),,,,,,,2010 Census Voting Age Population (Includes Latinos of Any Race),,,,,,,2018 5-Year ACS Educational Attainment,,,,,2018 5-Year ACS White Educational Attainment,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,HS Rank,Bachelor's Degree or Higher,BA Rank (Bachelor's Degree Share),White BA (Bachelor's Degree or Higher Among Whites Only),White BA Rank (Bachelor's Degree Share),Median Income,Income Rank,White Income,White Rank,,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,< High School,High School,Some College,College,Total,< High School,High School,Some College,College
Mississippi's 3rd,MS-03,Republican,Michael,Guest,(MAHY-kuhl GEST),/'maɪ.kəl gɛst/,2018,1970,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Open - Retired,36.8,61.3,39.1,60.0,38.4,60.8,36.7,62.3,30.4,66.2,27.9,68.9,0.0,100.0,62.2,34.7,1.1,0.7,0.8,0.5,63.3,32.3,2.2,0.9,0.8,0.6 ,85.6 ,330 ,26.0 ,277 ,31.0 ,256 ,"$46,349",381,"$59,072",291,42.9,,,,223,"323,853","119,108","198,527","340,146","132,968","204,180","341,622","131,202","207,867","257,271","94,461","160,284","2,526","316,445","96,101","209,490","10,854","170,946","47,744","117,771","5,431",0,"234,717",,,,,"737,400","442,855","265,390","11,050","5,285","7,090","5,730","561,985","349,595","194,980","6,085","3,745","4,540","3,045","741,822","449,767","254,546","17,169","6,799","7,404","6,137","557,605","352,737","179,916","12,107","5,080","4,688","3,077","496,543","71,718","143,898","151,959","128,968","310,452","31,947","84,977","97,410","96,118"
Mississippi's 4th,MS-04,Republican,Steven,Palazzo,(STEEV-in puh-LAZ-oh),/'sti.vɪn pə.'læ.zoʊ/,2010,1970,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,28.2,69.4,31.2,67.6,31.1,67.9,30.7,68.2,27.8,65.0,24.3,69.9,31.0,69.0,72.3,22.5,2.5,1.1,0.4,1.1,72.9,20.9,3.4,1.5,0.4,1.0 ,86.0 ,317 ,21.5 ,358 ,23.5 ,381 ,"$46,127",386,"$53,182",374,55.3,,,,224,"283,455","80,045","196,652","294,909","92,127","199,354","288,369","89,613","195,935","223,732","68,787","152,633","2,312","278,779","77,505","181,323","19,951","155,576","37,869","108,776","8,931","82,344","182,998",,,,,"754,365","525,955","178,765","25,205","8,510","2,630","13,295","572,200","413,725","128,910","14,555","6,455","2,170","6,385","741,776","522,243","166,798","27,983","11,017","2,575","11,160","556,927","405,892","116,214","18,929","8,467","1,957","5,468","509,400","71,392","154,563","173,834","109,611","369,409","44,652","110,910","127,102","86,745"
Missouri's 1st,MO-01,Democratic,Lacy,Clay,(LEY-see KLEY),/'leɪ.si kleɪ/,2000,1956,Man,Black - African-American,Christian - Roman Catholic,No,Won,77.0,18.8,79.9,18.9,80.3,18.6,80.1,16.7,75.5,20.0,73.0,21.6,81.5,18.5,46.2,48.2,2.0,1.8,0.2,1.7,47.3,45.5,2.7,2.8,0.2,1.5 ,88.7 ,232 ,31.9 ,169 ,43.8 ,102 ,"$45,385",390,"$58,893",295,26.0,,,,225,"319,606","246,107","60,136","350,829","280,194","66,286","384,801","309,062","71,725","274,375","219,781","45,867","8,727","314,024","236,993","62,714","14,317","163,494","119,315","35,273","8,906","267,927","60,832",,,,,"705,595","294,325","361,335","18,370","12,355","1,380","17,825","546,925","252,510","263,380","10,785","9,600","1,180","9,470","748,540","319,451","368,775","22,783","19,440","1,534","16,557","575,685","272,167","261,898","15,490","16,129","1,215","8,786","495,581","56,067","126,574","154,997","157,943","229,230","16,392","50,725","61,740","100,373"
Missouri's 2nd,MO-02,Republican,Ann,Wagner,(AN WAG-ner),/æn 'wæg.nəɹ/,2012,1962,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,42.3,52.6,41.4,57.1,46.4,52.6,47.2,51.2,37.7,58.5,32.6,64.1,38.2,61.8,90.6,3.7,1.6,3.0,0.1,1.0,90.2,3.1,2.0,3.7,0.1,0.9 ,95.1 ,5 ,48.8 ,29 ,48.4 ,72 ,"$82,172",57,"$82,439",94,46.7,,,,226,"420,072","177,647","220,842","411,992","170,727","235,428","429,449","199,128","225,911","376,066","177,611","192,477","5,978","413,296","155,689","241,954","15,653","231,117","75,384","148,191","7,542","146,272","236,971",,,,,"740,245","657,865","27,410","16,820","24,830","1,000","12,315","577,375","522,910","21,425","9,410","17,070",830,"5,730","748,401","664,294","24,801","17,629","29,374","1,117","11,186","572,513","516,348","17,774","11,289","21,201",838,"5,063","542,230","26,314","103,070","148,010","264,836","482,277","20,540","94,086","134,075","233,576"
Missouri's 3rd,MO-03,Republican,Blaine,Luetkemeyer,(BLEYN LOOT-kuh-mahy-er),/bleɪn 'lut.kə.ˌmaɪ.əɹ/,2008,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,28.1,67.1,36.1,62.0,42.8,55.8,32.8,65.1,27.9,67.8,27.1,68.3,34.1,65.9,93.0,3.2,1.6,0.6,0.3,1.2,93.2,3.1,1.7,0.9,0.3,0.9 ,90.4 ,153 ,26.0 ,279 ,25.8 ,345 ,"$63,382",175,"$64,338",232,69.0,,,,227,"378,846","106,365","254,183","353,496","127,443","219,156","370,056","158,404","206,620","324,608","106,589","211,243","6,776","368,333","102,891","249,865","15,577","191,620","52,021","130,940","8,659","111,189","214,843",,,,,"774,050","709,710","25,680","16,620","5,475","2,310","14,250","590,935","549,520","18,960","9,620","3,720","1,905","7,210","748,398","688,887","23,839","15,989","6,734","2,133","10,816","563,086","524,617","17,237","9,743","4,874","1,647","4,968","531,344","51,138","172,525","169,720","137,961","493,147","45,387","163,094","157,535","127,131"
Missouri's 4th,MO-04,Republican,Vicky,Hartzler,(VIK-ee HARTS-ler),/'vɪ.ki 'hɑɹt.sləɹ/,2010,1960,Woman,White - Non-Hispanic,Christian - Evangelical Protestant,No,Won,29.3,65.3,36.4,61.2,41.9,56.5,32.7,64.8,27.8,67.8,26.4,68.1,37.0,63.0,89.4,4.6,2.7,1.0,0.5,1.7,89.7,4.3,2.6,1.5,0.5,1.4 ,89.1 ,210 ,25.1 ,296 ,25.0 ,357 ,"$50,178",341,"$51,190",397,67.1,,,,228,"340,290","99,844","222,162","329,292","119,908","201,672","350,083","146,703","197,817","293,316","95,968","190,138","7,210","332,234","92,510","225,348","14,376","176,286","46,464","120,014","9,808","113,120","192,237",,,,,"750,995","659,430","34,035","25,710","7,750","3,740","20,335","580,530","518,990","26,950","15,565","5,890","2,980","10,150","749,315","661,410","33,714","24,278","10,807","3,622","15,484","573,748","514,675","24,803","14,999","8,562","2,782","7,927","497,644","54,010","169,267","149,225","125,142","445,015","46,002","154,326","133,454","111,233"
Missouri's 5th,MO-05,Democratic,Emanuel,Cleaver,(ih-MAN-yoo-wuhl KLEE-ver),/ɪ.'mæn.ju.ˌwəl 'kli.vəɹ/,2004,1944,Man,Black - African-American,Christian - Methodist,No,Won,54.1,40.6,58.9,39.4,62.0,36.8,61.7,35.6,58.8,38.2,51.6,45.0,62.1,37.9,70.2,21.1,5.1,1.5,0.4,1.7,69.0,20.2,6.8,1.8,0.4,1.6 ,89.5 ,201 ,27.9 ,242 ,32.3 ,238 ,"$50,328",337,"$57,924",309,47.5,,,,229,"328,803","177,772","133,458","338,346","199,298","133,185","370,231","229,496","136,071","283,785","175,019","101,069","7,697","324,270","190,766","123,771","9,733","153,635","79,256","69,071","5,308","200,290","122,149",,,,,"738,300","486,890","164,475","52,990","11,685","2,695","19,565","564,145","396,025","118,840","28,825","8,335","2,355","9,765","748,737","488,072","162,753","62,467","13,701","3,099","18,645","569,063","392,820","115,228","38,874","10,423","2,444","9,274","520,395","54,718","160,578","159,741","145,358","359,420","26,394","108,970","107,973","116,083"
Missouri's 6th,MO-06,Republican,Sam,Graves,(SAM GREYVZ),/sæm gɹeɪvz/,2000,1963,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Won,31.7,63.1,37.9,60.0,43.1,55.3,32.0,65.4,28.4,68.0,29.5,66.7,33.3,66.7,90.5,4.1,2.9,0.9,0.4,1.3,91.2,3.6,2.7,1.2,0.3,1.0 ,91.2 ,109 ,27.9 ,244 ,28.2 ,296 ,"$59,931",199,"$60,537",272,65.0,,,,230,"354,014","112,056","223,375","341,953","129,610","205,283","359,371","154,736","198,560","305,409","97,660","199,796","7,953","350,444","99,692","238,388","12,364","186,970","55,157","124,616","7,197","108,503","216,906",,,,,"757,730","673,210","30,580","27,130","6,955","2,535","17,320","576,230","521,465","23,475","16,425","4,960","2,140","7,765","748,760","671,952","28,069","24,951","8,941","2,523","12,324","564,869","515,112","20,613","15,126","6,509","1,945","5,564","515,624","45,146","174,351","152,122","144,005","464,680","37,518","160,156","135,931","131,075"
Missouri's 7th,MO-07,Republican,Billy,Long,(BIL-ee LAWNG),/'bɪ.li lɔŋg/,2010,1955,Man,White - Non-Hispanic,Christian - Presbyterian,No,Won,24.7,70.4,30.3,67.6,35.3,63.1,30.1,66.2,27.4,67.5,28.8,63.5,32.6,67.4,92.0,1.7,2.6,0.9,0.9,1.8,91.5,1.5,3.3,1.2,0.9,1.5 ,88.6 ,235 ,24.1 ,314 ,24.5 ,364 ,"$46,211",385,"$47,197",421,69.5,,,,231,"342,069","84,419","240,690","325,978","98,916","220,216","342,504","121,064","216,172","296,455","89,190","196,343","10,922","338,607","92,756","228,692","17,159","163,957","47,282","104,054","12,621","98,498","203,565",,,,,"758,185","680,585","13,890","30,085","7,670","6,900","19,060","582,595","536,000","9,950","15,265","5,245","5,430","10,710","748,406","671,805","11,760","32,310","9,506","6,987","16,038","571,140","522,790","8,487","19,015","6,980","5,101","8,767","514,493","58,431","166,171","165,749","124,142","468,836","47,560","153,646","152,728","114,902"
Missouri's 8th,MO-08,Republican,Jason,Smith,(JEY-suhn SMITH),/'dʒeɪ.sən smɪθ/,2013 Special,1980,Man,White - Non-Hispanic,Christian - Pentecostal,No,Won,21.0,75.4,32.0,65.9,38.3,60.0,25.0,73.4,22.7,74.4,24.3,66.7,25.4,74.6,92.3,4.3,1.4,0.3,0.5,1.2,92.6,4.1,1.3,0.6,0.4,1.0 ,83.3 ,364 ,16.1 ,421 ,16.3 ,432 ,"$41,701",415,"$42,721",432,77.3,4-Jun-13,27.4,67.1,232,"317,749","66,858","239,666","305,437","97,700","201,214","321,648","123,319","192,937","264,399","66,151","194,042","4,206","308,871","70,009","229,792","9,070","159,224","38,721","106,124","14,379","73,755","216,083","62,766","17,207","42,141","3,418","733,370","668,110","33,495","13,725","2,420","3,085","12,540","567,255","523,575","24,655","7,715","1,730","2,735","6,845","748,370","684,877","33,438","12,063","4,481","3,047","10,464","573,387","530,763","23,571","7,276","3,580","2,425","5,772","507,527","84,705","193,894","147,232","81,696","468,911","76,151","180,911","135,610","76,239"
Montana's At-Large,MT-AL,Republican,Greg,Gianforte,(GREG GEE-uhn-FAWR-tey),/gɹɛg ˌgi.ən.'fɔɹ.teɪ/,2017 Special,1961,Man,White - Non-Hispanic,Christian - Nondenominational Protestant,No,Won,35.9,56.5,41.7,55.4,47.2,49.6,46.2,50.9,40.5,56.2,40.4,55.4,44.5,55.5,89.1,0.4,2.8,0.6,5.2,1.8,90.0,0.3,2.3,0.7,5.1,1.6 ,93.2 ,37 ,31.2 ,182 ,32.5 ,235 ,"$52,559",303,"$54,051",361,60.2,25-May-17,44.4,50.0,233,"494,525","177,709","279,240","483,932","201,839","267,928","491,767","232,159","243,882","504,421","233,284","256,661","14,476","507,831","205,919","285,358","16,554","367,963","148,690","203,871","15,402","204,939","255,468","381,516","169,214","190,620","21,682","1,031,015","894,810","3,940","36,330","6,090","64,625","25,220","804,265","716,680","3,080","22,735","4,860","42,165","14,745","989,415","868,628","3,743","28,565","6,747","59,902","21,830","765,852","689,188","2,617","17,420","5,302","38,949","12,376","714,267","48,608","208,896","233,893","222,870","639,615","38,433","185,256","208,335","207,591"
Nebraska's 1st,NE-01,Republican,Jeff,Fortenberry,(JEF FAWR-tn-bair-ee),/dʒɛf 'fɔɹ.ʔn.ˌbɛ.ɹi/,2004,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,36.2,57.5,40.8,57.5,44.0,54.1,39.6,60.4,30.5,69.5,31.2,68.8,31.7,68.3,88.6,2.6,4.9,1.7,0.9,1.3,87.9,2.3,5.8,2.1,0.9,1.0 ,92.2 ,76 ,31.5 ,177 ,32.9 ,228 ,"$59,534",200,"$62,182",252,59.5,,,,234,"276,046","100,030","158,629","264,718","107,994","152,122","267,008","117,514","144,470","234,781","93,069","141,712",0,"273,238","83,467","189,771",0,"179,057","55,838","123,219",0,"81,206","174,889",,,,,"615,770","522,595","16,805","44,810","10,870","6,745","13,940","463,385","410,590","11,830","22,625","7,955","4,160","6,225","608,065","516,832","14,907","45,360","12,787","6,909","11,270","458,727","403,070","10,348","26,641","9,555","4,348","4,765","408,845","31,885","108,105","140,108","128,747","352,097","17,217","93,849","125,271","115,760"
Nebraska's 2nd,NE-02,Republican,Don,Bacon,(DAHN BEY-kuhn),/dɑn 'beɪ.kən/,2016,1963,Man,White - Non-Hispanic,Christian - Protestant,No,Won,46.0,48.2,45.7,52.8,49.8,48.6,49.0,51.0,47.7,48.9,49.0,45.7,49.2,50.8,81.6,9.1,5.8,1.6,0.4,1.6,78.3,9.2,8.2,2.5,0.4,1.3 ,91.1 ,116 ,39.8 ,85 ,44.3 ,100 ,"$65,816",149,"$74,005",148,45.4,,,,235,"285,211","131,102","137,506","266,720","121,971","140,880","267,039","133,016","129,890","248,485","121,770","126,715",0,"288,308","137,602","141,066","9,640","171,050","83,872","78,157","9,021","129,767","133,964",,,,,"622,975","477,960","59,880","54,945","11,710","2,240","16,240","454,280","370,720","41,245","26,125","7,440","1,620","7,135","609,223","454,079","61,305","61,976","15,680","2,755","13,428","447,161","350,324","41,319","36,613","11,309","1,943","5,653","428,669","38,117","89,860","129,957","170,735","335,255","13,393","67,977","105,342","148,543"
Nebraska's 3rd,NE-03,Republican,Adrian,Smith,(EY-dree-in SMITH),/'eɪ.ɾɹi.ɪn smɪθ/,2006,1970,Man,White - Non-Hispanic,Christian - Evangelical Free Church,No,Won,20.0,74.9,27.8,70.2,31.0,66.9,23.3,76.7,0.0,100.0,24.6,75.4,25.8,74.2,90.4,0.9,6.4,0.5,0.7,0.9,89.7,0.7,7.6,0.7,0.7,0.6 ,89.9 ,171 ,22.2 ,348 ,23.7 ,379 ,"$53,115",289,"$54,489",355,69.0,,,,236,"266,918","53,362","199,826","259,224","72,116","182,062","266,981","82,789","178,619","213,304","49,654","163,650",0,"226,720",0,"226,720",0,"184,964","45,524","139,440",0,"65,266","187,423",,,,,"582,925","506,700","5,650","54,465","3,245","5,000","7,865","441,115","398,905","3,970","28,415","2,415","3,260","4,155","609,053","528,842","4,747","60,069","4,418","5,133","5,844","461,232","413,562","3,314","34,967","3,239","3,346","2,804","404,949","40,737","128,584","145,894","89,734","356,770","23,672","115,009","133,635","84,454"
Nevada's 1st,NV-01,Democratic,Dina,Titus,(DEE-nuh TAHY-tuhs),/'di.nə 'taɪ.ɾəs/,"2012, 2008-2010",1950,Woman,White - Non-Hispanic,Christian - Eastern Orthodox,No,Won,61.6,32.6,65.6,32.4,64.5,33.0,66.2,30.9,61.9,28.8,56.8,37.9,66.8,33.2,45.0,13.2,29.1,9.3,0.7,2.7,42.3,9.5,36.5,9.0,0.5,2.2 ,77.2 ,407 ,15.4 ,424 ,21.5 ,402 ,"$40,489",421,"$43,789",430,35.3,,,,237,"196,840","121,321","64,233","187,686","123,205","60,813","189,190","122,041","62,527","152,201","100,707","46,978","4,516","188,352","116,537","54,174","17,641","80,299","45,643","30,413","4,243","113,967","56,521",,,,,"557,620","205,180","72,665","212,600","45,435","3,495","18,235","408,975","183,880","53,845","119,175","37,970","2,870","11,235","674,442","246,051","63,635","287,756","55,478","3,099","18,423","509,371","215,645","48,217","185,912","46,076","2,538","10,983","464,680","105,716","151,066","136,168","71,730","176,070","17,705","58,058","62,420","37,887"
Nevada's 2nd,NV-02,Republican,Mark,Amodei,(MAHRK AM-uh-dey),/mɑɹk 'æ.mə.deɪ/,2011 Special,1958,Man,White - Non-Hispanic,Christian - Protestant,No,Won,39.7,52.0,44.8,52.9,49.4,48.2,41.8,58.2,36.9,58.3,27.9,65.7,38.6,61.4,76.1,1.9,14.1,3.8,2.1,1.9,73.8,1.7,16.6,4.3,1.8,1.8 ,88.3 ,249 ,26.6 ,261 ,30.4 ,268 ,"$61,259",190,"$64,501",230,53.0,,,,238,"326,011","129,318","169,631","293,476","131,542","155,187","285,982","141,357","137,916","287,537","120,102","167,435",0,"313,336","115,722","182,676","14,938","186,210","52,016","122,402","11,792","102,019","162,213",,,,,"661,965","468,740","12,235","124,245","24,090","14,310","18,340","508,235","386,525","9,895","71,540","19,545","10,905","9,820","675,971","469,069","11,684","138,087","27,912","12,641","16,578","515,125","379,952","8,925","85,495","22,255","9,378","9,120","491,374","57,423","127,765","175,266","130,920","356,527","20,563","90,776","136,938","108,250"
Nevada's 3rd,NV-03,Democratic,Susie,Lee,(SOO-zee LEE),/'su.zi li/,2018,1966,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Elected to Senate,46.5,47.5,49.5,48.7,53.5,44.6,51.9,42.8,47.2,46.0,36.1,60.8,46.0,54.0,62.8,6.9,14.0,12.7,0.4,3.2,64.4,5.9,13.5,13.1,0.4,2.7 ,92.8 ,50 ,32.4 ,164 ,34.2 ,208 ,"$70,660",110,"$73,432",157,41.3,,,,239,"325,602","151,552","154,815","283,656","140,501","138,238","262,257","140,378","116,908","286,168","148,501","122,566","15,101","310,963","146,869","142,926","21,168","145,719","52,644","88,528","4,547","116,823","137,244",,,,,"732,615","431,915","52,115","121,440","91,255","2,595","33,290","563,430","353,660","39,100","78,710","71,685","2,205","18,065","675,469","412,783","41,181","105,955","86,223","2,751","26,576","521,733","335,885","30,810","70,493","68,194","2,170","14,181","557,058","39,956","140,012","196,786","180,304","338,169","16,005","85,338","121,238","115,588"
Nevada's 4th,NV-04,Democratic,Steven,Horsford,(STEE-ven HAWRS-ferd),/'sti.vɛn 'hɔɹs.fɜɹd/,"2018, 2012-2014",1973,Man,Black - African-American/Trinidadian,Christian - Baptist,No,Open - Retired,49.5,44.6,54.4,43.7,56.4,41.4,51.9,43.7,48.5,44.5,45.8,48.5,54.3,45.7,55.0,15.7,19.1,6.4,0.9,2.9,54.7,13.2,23.0,6.0,0.8,2.3 ,85.4 ,332 ,21.0 ,368 ,25.7 ,346 ,"$58,618",214,"$65,038",221,40.9,,,,240,"276,932","137,070","123,380","250,100","136,124","109,330","230,420","129,961","95,477","234,868","121,962","102,748","10,158","265,846","128,985","118,328","18,533","130,781","59,844","63,466","7,471","120,501","101,261",,,,,"677,395","331,455","106,420","169,495","37,650","6,005","26,365","493,015","271,350","77,525","94,075","31,675","4,255","14,130","674,669","334,178","91,558","184,703","36,890","5,045","22,295","489,314","267,816","64,558","112,634","29,330","3,771","11,205","488,338","71,068","144,386","170,490","102,394","253,881","18,247","72,914","97,480","65,240"
New Hampshire's 1st,NH-01,Democratic,Chris,Pappas,(KRIS PAP-uhs),/kɹɪs 'pæ.pəs/,2018,1980,Man,White - Non-Hispanic,Christian - Eastern Orthodox,Gay,Open - Retired,46.6,48.2,50.2,48.6,52.8,46.4,53.6,45.0,45.8,44.4,48.1,51.7,52.0,48.0,93.7,1.1,2.4,1.4,0.1,1.3,93.7,1.0,2.2,1.9,0.2,1.0 ,93.0 ,44 ,37.2 ,112 ,37.2 ,173 ,"$75,028",82,"$76,392",131,58.8,,,,241,"371,973","173,344","179,259","356,812","179,148","173,419","353,603","186,598","163,977","291,039","155,884","130,996","4,159","353,451","161,828","157,011","34,612","242,736","116,769","125,508",459,"171,650","158,659",,,,,"658,925","607,115","8,430","20,100","10,535",620,"12,125","528,005","494,935","5,615","12,775","7,490",560,"6,625","658,233","607,603","7,643","18,305","13,357","1,176","10,149","514,495","481,892","5,135","11,377","9,906",916,"5,269","477,693","33,255","127,939","139,004","177,495","441,530","27,885","119,174","130,122","164,349"
New Hampshire's 2nd,NH-02,Democratic,Annie,Kuster,(AN-ee KUHS-ter),/'æ.ni 'kə.stəɹ/,2012,1956,Woman,White - Non-Hispanic,Christian - Episcopalian,No,Won,48.6,46.2,54.2,44.5,56.0,43.1,55.5,42.2,49.8,45.4,54.9,44.9,52.5,47.5,93.3,1.0,2.7,1.6,0.2,1.2,93.5,0.8,2.2,2.2,0.2,1.1 ,92.8 ,52 ,35.8 ,124 ,35.5 ,193 ,"$73,039",96,"$73,536",153,60.2,,,,242,"360,294","175,182","166,531","351,587","190,413","156,499","354,008","198,228","152,557","279,705","155,358","117,990","6,357","350,189","174,386","158,960","16,843","238,149","130,679","106,857",613,"169,275","152,977",,,,,"648,320","596,705","6,395","21,745","11,760","1,175","10,545","520,195","485,455","4,955","13,870","8,490",930,"6,490","658,237","607,447","5,982","18,399","15,213","1,517","9,679","514,741","481,039","4,301","11,557","11,180","1,208","5,456","474,422","34,352","135,066","135,074","169,930","437,662","29,002","126,332","126,876","155,452"
New Jersey's 1st,NJ-01,Democratic,Donald,Norcross,(DAHN-uhld NAWR-kraws),/'dɑ.nəld 'nɔɹ.kɹɔs/,2014 Special,1958,Man,White - Non-Hispanic,Christian - Lutheran,No,Won,60.6,36.1,65.1,33.8,64.7,34.2,64.4,33.3,60.0,36.8,57.4,39.4,69.5,30.5,68.4,16.5,9.6,4.1,0.1,1.3,68.9,15.4,9.9,4.5,0.2,1.2 ,89.8 ,182 ,31.3 ,181 ,34.0 ,212 ,"$70,270",113,"$80,408",105,45.1,,,,243,"329,188","199,386","118,880","326,134","212,236","110,377","340,075","219,874","116,242","263,418","169,628","87,617","6,173","305,473","183,231","112,388","9,854","162,492","93,315","64,073","5,104","210,470","92,459",,,,,"697,025","451,650","117,530","83,805","29,860",575,"13,610","536,815","367,315","88,340","51,765","22,020",410,"6,970","731,714","480,423","119,179","84,785","32,984","1,128","13,215","556,968","383,899","85,825","54,875","24,852",854,"6,663","498,733","50,914","156,460","135,333","156,026","335,227","22,802","108,759","89,637","114,029"
New Jersey's 2nd,NJ-02,Republican,Jeff,Van Drew,(JEF van-DROO),/dʒɛf væn.'dʒɹu/,2018,1953,Man,White - Non-Hispanic,Christian - Catholic,No,Open - Retired,46.0,50.6,53.5,45.4,53.2,45.5,52.9,45.2,37.2,59.2,37.3,61.5,41.1,58.9,73.0,11.9,10.3,3.0,0.3,1.4,71.0,11.8,12.2,3.5,0.3,1.2 ,86.9 ,291 ,26.1 ,275 ,30.5 ,264 ,"$63,862",169,"$73,597",152,50.7,,,,244,"321,004","147,656","162,486","311,778","166,906","141,479","328,805","174,840","149,736","258,363","136,685","116,866","4,812","297,795","110,838","176,338","10,619","177,148","66,026","108,875","2,247","116,463","166,679",,,,,"684,615","469,675","82,825","93,150","22,435","1,685","14,850","532,200","388,435","63,545","54,930","16,195","1,435","7,660","732,326","495,309","90,019","105,485","26,175","2,089","13,249","564,025","400,427","66,558","68,994","19,629","1,642","6,775","504,184","66,138","170,395","136,083","131,568","356,889","29,047","121,207","97,809","108,826"
New Jersey's 3rd,NJ-03,Democratic,Andy,Kim,(AN-dee KIM),/'æn.di kɪm/,2018,1982,Man,Asian - Korean,Christian - Presbyterian,No,Lost,45.2,51.4,51.8,47.2,51.1,47.7,50.0,48.7,38.9,59.3,44.4,54.0,45.5,54.5,79.4,10.1,5.9,2.8,0.0,1.7,80.0,9.8,5.6,3.2,0.1,1.4 ,93.1 ,40 ,33.9 ,145 ,34.5 ,205 ,"$79,880",64,"$80,978",100,52.0,,,,245,"365,240","165,090","187,703","345,812","179,028","163,203","367,978","188,210","175,525","306,875","153,473","149,500","3,902","328,060","127,526","194,596","5,938","186,103","82,537","100,471","3,095","145,509","174,257",,,,,"714,365","548,830","73,810","52,900","21,480",330,"17,015","563,945","447,885","57,150","33,500","15,710",280,"9,415","733,895","571,319","74,882","47,920","24,343",888,"14,543","571,390","457,098","55,799","31,913","18,146",691,"7,743","523,679","35,998","161,803","148,574","177,304","411,689","23,934","131,516","114,236","142,003"
New Jersey's 4th,NJ-04,Republican,Chris,Smith,(KRIS SMITH),/kɹɪs smɪθ/,1980,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,41.0,55.8,44.7,54.2,45.3,53.6,43.1,55.4,33.5,63.7,31.1,68.0,35.6,64.4,82.7,6.2,6.5,3.7,0.0,0.8,80.5,6.2,8.5,3.8,0.1,0.9 ,92.4 ,63 ,40.3 ,81 ,42.7 ,112 ,"$83,372",51,"$87,047",74,47.4,,,,246,"356,583","146,191","198,859","332,612","148,622","180,439","355,041","160,660","190,307","294,348","126,766","163,065","4,517","332,684","111,532","211,992","9,160","174,849","54,415","118,826","1,608","108,097","195,186",,,,,"702,625","566,330","41,860","58,535","26,130",320,"9,445","525,460","434,350","32,580","34,315","19,510",260,"4,445","732,848","578,886","46,412","69,676","27,558",643,"9,673","547,849","440,802","34,160","46,528","20,703",510,"5,146","500,328","37,785","132,069","128,789","201,685","397,134","19,114","106,605","102,029","169,386"
New Jersey's 5th,NJ-05,Democratic,Josh,Gottheimer,(JAHSH GAHT-hahy-mer),/dʒɑʃ 'gɑt.haɪ .məɹ/,2016,1975,Man,White - Non-Hispanic,Jewish,No,Won,47.7,48.8,47.9,50.9,48.5,50.5,56.2,42.5,51.1,46.7,43.3,55.4,43.7,56.3,75.5,4.6,10.9,8.0,0.2,0.8,75.4,4.4,10.1,8.8,0.1,1.1 ,93.5 ,30 ,47.3 ,36 ,47.4 ,79 ,"$102,923",16,"$105,445",25,39.7,,,,247,"364,545","173,963","178,058","338,580","162,305","172,486","363,746","176,486","183,854","301,823","169,546","128,255","4,022","337,701","172,587","157,690","7,424","188,921","81,808","104,678","2,435","130,102","167,503",,,,,"688,190","502,635","31,650","85,145","58,405","1,110","9,250","530,545","400,755","24,535","57,585","42,390",885,"4,395","734,272","542,510","32,124","81,017","66,519",935,"11,167","559,815","422,171","24,644","56,682","49,511",691,"6,116","512,780","33,100","122,311","114,863","242,506","368,650","17,441","92,746","83,694","174,769"
